nom,zone,site_web,facebook,linkedin,instagram_x,telephone,email
Fiore Rubinetterie srl,Pavillon Gourara,,,,,,
Fraccaroli e Balzan spa,Pavillon Gourara,,,,,,
Gaggiotti Drilling Tools srl,Pavillon Gourara,,,,,,
Gaspari Menotti Technologies s.R.L.,Pavillon Gourara,,,,,,
Hidronix s.R.L.,Pavillon Gourara,,,,,,
I.C.F. Welko spa,Pavillon Gourara,,,,,,
Isabrasivi s.R.L.,Pavillon Gourara,,,,,,
ITA Trade – Agence Italienne Commerce Extérieur,Pavillon Gourara,https://www.ice.it,,,,,
Mait spa,Pavillon Gourara,https://www.mait.it,,,,,
Marpak OMS Group s.R.L.,Pavillon Gourara,,,,,,
Mct Italy srl,Pavillon Gourara,,,,,,
Polaris Industries srl,Pavillon Gourara,,,,,,
Prometec srl,Pavillon Gourara,,,,,,
Ratto Fixing s.R.L.,Pavillon Gourara,,,,,,
Simec spa,Pavillon Gourara,https://www.simec.it,,,,,
Tenax spa,Pavillon Gourara,https://www.tenaxgroup.com,,,,,
Far Rubinetterie spa,Pavillon Gourara,,,,,,
Alpine Formwork Scaffolding Systems,Pavillon Casbah,,,,,,
Conmach Makine Sanayi ve Ticaret Ltd.,Pavillon Casbah,https://www.conmach.com,,,,,info@conmach.com
Constmach Makina İhracat İthalat Ltd.,Pavillon Casbah,https://www.constmach.com,,,,,info@constmach.com
Boratas Concassage et Criblage,Pavillon Casbah,,,,,,
Çelik Makina İmal.İnş. Ltd.,Pavillon Casbah,,,,,,
Demiray Vinç Makina Müh. Ltd.,Pavillon Casbah,,,,,,
Door Errihane Industry sarl,Pavillon Casbah,,,,,,
Hasmak Vinç Mak. San. Ve Tic. Ltd.,Pavillon Casbah,,,,,,
I-Mak Gearboxes and Couplings,Pavillon Casbah,https://www.i-mak.com,,,,,
Initiative Architecture,Pavillon Casbah,,,,,,
Kensan Makina San. Ve Tic. Ltd.,Pavillon Casbah,,,,,,
Mesa Formwork,Pavillon Casbah,,,,,,
Mrm Mekanik Makina Metal Ltd.,Pavillon Casbah,,,,,,
Namtas Concrete Block Machines,Pavillon Casbah,,,,,,
Polin Waterparks,Pavillon Casbah,https://www.polinwaterparks.com,,,,,
Promax Concrete Batching Plants,Pavillon Casbah,,,,,,
Saes Makine San. Ve Tic.,Pavillon Casbah,,,,,,
Schwing-Stetter,Pavillon Casbah / Ahaggar,https://www.schwing.de,,https://www.linkedin.com/company/schwing-stetter,,,
Yinmak Makina Sanayi ve Ticaret Ltd.,Pavillon Casbah,,,,,,
Adw Diamond Solutions,Pavillon Ahaggar,,,,,,
"Aimix Group Co., Ltd",Pavillon Ahaggar,https://www.aimixgroup.com,,,,,
Arcen Engenharia,Pavillon Ahaggar,,,,,,
"Beijing Sunlets Technology Co., Ltd.",Pavillon Ahaggar,,,,,,
Bombas Ideal,Pavillon Ahaggar,,,,,,
Borel France sas,Pavillon Ahaggar,,,,,,
"Changsha Nobleness Import and Export Trading Co., Ltd",Pavillon Ahaggar,,,,,,
"Foshan Happy Technology Co., Ltd",Pavillon Ahaggar,,,,,,
"Foshan Star Technology Co., Ltd",Pavillon Ahaggar,,,,,,
"Foshan Sunsco Steel Co., Ltd",Pavillon Ahaggar,,,,,,
"Guangdong Hantai Decoration Material Co., Ltd",Pavillon Ahaggar,,,,,,
"Hangzhou Epsole Technologies Co., Ltd",Pavillon Ahaggar,,,,,,
"Hebei United Energy Tech Co., Ltd",Pavillon Ahaggar,,,,,,
"Henan Zoke Crane Co., Ltd",Pavillon Ahaggar,,,,,,
Imerys,Pavillon Ahaggar,https://www.imerys.com,,https://www.linkedin.com/company/imerys,,,
"Jinan Hengsheng New Building Materials Co., Ltd",Pavillon Ahaggar,,,,,,
Kirby Building Systems Company,Pavillon Ahaggar,https://www.kirbybuildingsystems.com,,,,,
"Liming Heavy Industry Co., Ltd",Pavillon Ahaggar,https://www.limingco.com,,,,,
"Qingdao Chinastar Holding Co., Ltd",Pavillon Ahaggar,,,,,,
"Qingdao Honesteel Metal Co., Ltd.",Pavillon Ahaggar,,,,,,
"Shanghai Shibang Machinery Sales Co., Ltd",Pavillon Ahaggar,,,,,,
"Shandong Deyijia Sealant Industry Co., Ltd",Pavillon Ahaggar,,,,,,
"Shandong King United Machinery Co., Ltd",Pavillon Ahaggar,,,,,,
"Shandong Yiyuan Wood Industry Co., Ltd",Pavillon Ahaggar,,,,,,
"Shanghai Siway Building Material Co., Ltd",Pavillon Ahaggar,,,,,,
"Shenyang Xinguopai Materials Technology Co., Ltd.",Pavillon Ahaggar,,,,,,
"Shenzhen SWD Industry Co., Ltd",Pavillon Ahaggar,,,,,,
Sinotech Group,Pavillon Ahaggar,,,,,,
"Tianjin Wanlong Sanqiang Industry Co., Ltd",Pavillon Ahaggar,,,,,,
"Tianjin Youfa International Trade Co., Ltd",Pavillon Ahaggar,,,,,,
Unisteel sa,Pavillon Ahaggar,,,,,,
"Zhejiang Jile Supply Chain Management Co., Ltd",Pavillon Ahaggar,,,,,,
"Zhejiang Tasan Flow Tech Co., Ltd.",Pavillon Ahaggar,,,,,,
"Zhengzhou Corey Machinery Equipment Co., Ltd.",Pavillon Ahaggar,,,,,,
Adopen Algerie spa,Pavillon Central Concorde,,,,,,
Africa Multiple sarl,Pavillon Central Concorde,,,,,,
Ain Dalia Marbre et Granit sarl,Pavillon Central Concorde,,,,,,
Bama Ceram sarl,Pavillon Central Concorde,,,,,,
Bceram sarl,Pavillon Central Concorde,,,,,,
Ceram Decor Group,Pavillon Central Concorde,,,,,,
Ceraprod sarl,Pavillon Central Concorde,,,,,,
Poleceram sarl,Pavillon Central Concorde,,,,,,
Royal Ceram sarl,Pavillon Central Concorde,,,,,,
Sifag spa,Pavillon Central Concorde,,,,,,
Sofcontra sarl,Pavillon Central Concorde,,,,,,
Mosaique de Luxe,Pavillon Central Concorde,,,,,,
Numidia Meuble Import Export eurl,Pavillon Central Concorde,,,,,,
Bordj Steel spa,Ext. Pavillon Palestine,,,,,,
El Djarissi Groupe eurl,Ext. Pavillon Palestine,,,,,,
Etka Power Company sarl,Ext. Pavillon Palestine,,,,,,
Fabp Sadoudi sarl,Ext. Pavillon Palestine,,,,,,
Gam Mital sarl,Ext. Pavillon Palestine,,,,,,
Groupe Sonarem,Ext. Pavillon Palestine,,,,,,
Moduvi Construction Modulaire sarl,Ext. Pavillon Palestine,,,,,,
Moon Light sarl,Ext. Pavillon Palestine,,,,,,
Nour sarl Sokhour,Ext. Pavillon Palestine,,,,,,
Promed Design eurl,Ext. Pavillon Palestine,,,,,,
Knauf Plâtres sarl,Cascade,https://www.knaufalgerie.com,https://www.facebook.com/KnaufDZAlgerie,https://www.linkedin.com/company/knauf,@Knauf_Algerie (X),+213 (0)21 36 87 00,info@knaufalgerie.com
Lafarge Service Algérie,Cascade,https://www.lafarge.dz,https://www.facebook.com/holcim.dz,https://www.linkedin.com/company/lafarge,,+213 (0)23 67 10 00,sofiane.yahimi@lafarge.com
Global Gypse Company,Cascade,,,,,,
Taouab sarl,Cascade,,,,,,
Atom Metal sarl,Allée Principale,,,,,,
Baytimod eurl,Allée Principale,,,,,,
Bloctech-Solutions sarl,Allée Principale,,,,,,
Bordj Construction Métallique sarl,Allée Principale,,,,,,
Fraim International sarl,Allée Principale,,,,,,
Grafil sarl,Allée Principale,,,,,,
Kacidi Import Export sarl,Allée Principale,,,,,,
Algal Plus,Place Unité Africaine,,,,,,
Algomat sarl,Place Unité Africaine,,,,,,
Almexol Algerie sarl,Place Unité Africaine,,,,,,
Charabi Industry eurl,Place Unité Africaine,,,,,,
El Bordi sarl,Place Unité Africaine,,,,,,
Entreprise Nationale des Matériels de Travaux Publics,Place Unité Africaine,,,,,,
Fomatrap sarl,Place Unité Africaine,,,,,,
Future Motors Algerie sarl,Place Unité Africaine,,,,,,
Generale Pneumatiques sarl,Place Unité Africaine,,,,,,
Groupe CTS Rahmoune,Place Unité Africaine,,,,,,
IIb sarl,Place Unité Africaine,,,,,,
Intermat sarl,Place Unité Africaine,,,,,,
Kadri Metaux eurl,Place Unité Africaine,,,,,,
Knh Car Industry sarl,Place Unité Africaine,,,,,,
Liebherr Algerie sarl,Place Unité Africaine,https://www.liebherr.com,,https://www.linkedin.com/company/liebherr,,,
Logistibat eurl,Place Unité Africaine,,,,,,
Medi Faouz eurl,Place Unité Africaine,,,,,,
Negoce Auto Service spa,Place Unité Africaine,,,,,,
Opdz sarl,Place Unité Africaine,,,,,,
Pengpu Algerie sarl,Place Unité Africaine,,,,,,
Planet Services Engineering sarl,Place Unité Africaine,,,,,,
Socope sarl,Place Unité Africaine,,,,,,
Tirsam sarl,Place Unité Africaine,,,,,,
Zemzem Projection eurl,Place Unité Africaine,,,,,,
